Patron ID,Donation Amount,Donation Date,Payment Method,Campaign,Status
7963,"$3,000.00",2018-01-25,Credit card,Annual Campaign,Paid
5966,$100.00,2023-07-10,Credit card,Gala Campaign,Paid
5034,$250.00,2022-07-25,Check,Capital Campaign,Paid
5287,"$1,000.00",2020-05-19,Credit card,Annual Campaign,Paid
8101,"$1,000.00",2020-05-17,Credit card,Capital Campaign,Paid
8548,"$5,000.00",2019-10-21,Check,Annual Campaign,Paid
9859,$50.00,2019-11-22,Credit card,Annual Campaign,Paid
5301,"$10,000.00",2022-10-03,Check,Gala Campaign,Paid
5767,$250.00,2024-12-20,Check,Annual Campaign,Paid
4926,$500.00,2018-09-28,Credit card,Annual Campaign,Paid
1089,"$1,000.00",2018-07-13,Check,Annual Campaign,Paid
4051,"$3,000.00",2021-05-05,Credit card,Annual Campaign,Paid
3514,$250.00,2020-12-01,Check,Annual Campaign,Paid
3953,$250.00,2024-05-04,Credit card,Capital Campaign,Paid
6366,$500.00,2023-03-27,Credit card,Annual Campaign,Paid
4566,"$10,000.00",2022-10-26,Check,Annual Campaign,Paid
5418,"$10,000.00",2021-03-21,Check,Capital Campaign,Paid
3677,$50.00,2022-02-19,Credit card,Annual Campaign,Paid
6822,$100.00,2023-05-14,Bank transfer,Annual Campaign,Paid
7564,$500.00,2022-06-17,Credit card,Annual Campaign,Paid
4036,"$10,000.00",2020-12-08,Credit card,Capital Campaign,Paid
9655,$100.00,2020-01-21,Check,Annual Campaign,Paid
1459,"$10,000.00",2021-04-28,Credit card,Capital Campaign,Paid
8265,"$5,000.00",2018-09-30,Credit card,Annual Campaign,Paid
2014,$100.00,2020-04-10,Bank transfer,Annual Campaign,Paid
4862,$100.00,2021-07-30,Check,Annual Campaign,Paid
8161,$50.00,2020-06-01,Credit card,Annual Campaign,Paid
4107,"$5,000.00",2020-12-27,Credit card,Annual Campaign,Paid
1102,$100.00,2023-11-30,Bank transfer,Gala Campaign,Paid
3203,"$5,000.00",2020-09-25,Credit card,Gala Campaign,Paid
6522,$500.00,2018-03-20,Credit card,Annual Campaign,Paid
4526,$50.00,2019-03-21,Credit card,Annual Campaign,Paid
3973,$50.00,2024-01-28,Credit card,Annual Campaign,Paid
9734,$500.00,2022-10-29,Bank transfer,Gala Campaign,Paid
9153,$100.00,2019-12-28,Credit card,Annual Campaign,Paid
7103,"$1,000.00",2024-08-15,Credit card,Annual Campaign,Paid
3561,"$10,000.00",2021-08-07,Bank transfer,Annual Campaign,Paid
7963,"$1,000.00",2019-10-20,Credit card,Annual Campaign,Paid
6801,$100.00,2018-02-15,Credit card,Annual Campaign,Paid
2085,$250.00,2019-03-22,Check,Annual Campaign,Paid
3927,$500.00,2024-05-25,Check,Annual Campaign,Paid
4651,$100.00,2022-01-07,Check,Gala Campaign,Paid
4039,"$1,000.00",2020-06-19,Credit card,Annual Campaign,Paid
2481,$500.00,2018-06-19,Credit card,Annual Campaign,Paid
5321,$100.00,2020-06-12,Credit card,Capital Campaign,Paid
4615,"$5,000.00",2023-05-12,Credit card,Annual Campaign,Paid
9139,$500.00,2021-04-09,Bank transfer,Annual Campaign,Paid
1854,$50.00,2021-08-08,Credit card,Annual Campaign,Paid
2173,$100.00,2018-07-11,Credit card,Gala Campaign,Paid
2936,$100.00,2023-03-04,Credit card,Annual Campaign,Paid
3140,"$3,000.00",2023-06-10,Credit card,Annual Campaign,Paid
5967,"$5,000.00",2018-04-02,Check,Annual Campaign,Paid
3446,$100.00,2020-01-21,Credit card,Gala Campaign,Paid
9965,$50.00,2018-08-20,Check,Annual Campaign,Paid
2136,$50.00,2020-03-22,Credit card,Annual Campaign,Paid
2581,"$10,000.00",2024-09-27,Credit card,Annual Campaign,Paid
2737,"$1,000.00",2021-02-01,Credit card,Annual Campaign,Paid
2433,"$1,000.00",2021-12-06,Credit card,Annual Campaign,Paid
7358,$50.00,2021-09-02,Bank transfer,Annual Campaign,Refunded
6197,$50.00,2021-10-21,Credit card,Annual Campaign,Paid
6816,"$5,000.00",2019-11-04,Credit card,Annual Campaign,Paid
6586,$500.00,2020-11-11,Credit card,Annual Campaign,Paid
7022,$250.00,2024-09-19,Check,Annual Campaign,Paid
6605,$250.00,2021-10-14,Credit card,Annual Campaign,Paid
4668,"$3,000.00",2021-10-07,Credit card,Annual Campaign,Paid
1288,$50.00,2022-02-06,Check,Annual Campaign,Paid
8361,"$3,000.00",2019-11-27,Check,Annual Campaign,Paid
7369,"$3,000.00",2022-08-28,Check,Annual Campaign,Paid
1825,$500.00,2021-06-20,Credit card,Annual Campaign,Paid
1348,$100.00,2023-03-18,Bank transfer,Annual Campaign,Paid
1550,"$10,000.00",2018-01-31,Credit card,Annual Campaign,Paid
3506,$250.00,2022-11-10,Bank transfer,Gala Campaign,Paid
3141,$50.00,2021-04-03,Credit card,Annual Campaign,Paid
7497,$50.00,2020-05-05,Credit card,Annual Campaign,Paid
5966,"$3,000.00",2021-03-30,Credit card,Gala Campaign,Paid
5034,$250.00,2019-12-13,Bank transfer,Annual Campaign,Paid
5287,"$5,000.00",2023-08-15,Check,Annual Campaign,Paid
8101,"$3,000.00",2019-06-06,Credit card,Gala Campaign,Paid
8548,$500.00,2022-01-01,Credit card,Annual Campaign,Paid
7040,$100.00,2024-07-25,Credit card,Annual Campaign,Paid
9432,"$10,000.00",2019-06-20,Bank transfer,Annual Campaign,Paid
3194,"$5,000.00",2020-03-23,Credit card,Gala Campaign,Paid
6339,$500.00,2021-06-11,Credit card,Annual Campaign,Paid
9827,"$1,000.00",2024-12-26,Credit card,Annual Campaign,Paid
1288,$500.00,2020-03-03,Credit card,Annual Campaign,Paid
5032,"$3,000.00",2021-10-22,Credit card,Annual Campaign,Paid
3240,"$1,000.00",2020-09-16,Credit card,Annual Campaign,Paid
8308,$250.00,2020-04-27,Credit card,Gala Campaign,Paid
3434,"$1,000.00",2021-08-02,Bank transfer,Annual Campaign,Paid
5049,$100.00,2019-08-13,Credit card,Annual Campaign,Paid
6846,$100.00,2020-03-11,Credit card,Annual Campaign,Paid
4348,"$1,000.00",2020-06-24,Credit card,Annual Campaign,Paid
2976,"$1,000.00",2023-02-08,Credit card,Annual Campaign,Paid
8309,$100.00,2020-06-26,Bank transfer,Gala Campaign,Paid
5301,"$10,000.00",2022-12-24,Credit card,Annual Campaign,Paid
5767,"$5,000.00",2019-03-11,Credit card,Annual Campaign,Paid
4926,"$10,000.00",2020-03-26,Check,Gala Campaign,Paid
1089,$500.00,2018-10-07,Credit card,Annual Campaign,Paid
4051,"$1,000.00",2023-12-06,Credit card,Annual Campaign,Paid
3514,"$10,000.00",2021-05-22,Credit card,Annual Campaign,Paid
3953,$500.00,2022-12-19,Credit card,Annual Campaign,Paid
6366,$500.00,2019-08-19,Credit card,Gala Campaign,Paid
4566,$500.00,2019-07-16,Credit card,Annual Campaign,Paid
5418,"$1,000.00",2018-09-16,Credit card,Annual Campaign,Paid
3677,"$10,000.00",2021-03-07,Check,Annual Campaign,Paid
6822,"$10,000.00",2018-12-28,Check,Annual Campaign,Paid
4036,"$5,000.00",2020-06-10,Credit card,Annual Campaign,Paid
9655,$50.00,2021-11-26,Credit card,Annual Campaign,Paid
1459,"$5,000.00",2021-01-15,Check,Annual Campaign,Paid
2014,$500.00,2022-03-01,Credit card,Annual Campaign,Paid
4862,$500.00,2024-06-12,Credit card,Annual Campaign,Paid
8161,"$1,000.00",2022-08-20,Check,Annual Campaign,Paid
4107,$250.00,2021-08-02,Credit card,Capital Campaign,Paid
1102,"$5,000.00",2019-06-21,Credit card,Annual Campaign,Paid
3203,"$5,000.00",2018-08-13,Credit card,Annual Campaign,Paid
6522,$100.00,2022-11-12,Credit card,Annual Campaign,Paid
4526,$100.00,2024-06-14,Credit card,Annual Campaign,Paid
3973,$100.00,2020-05-31,Credit card,Annual Campaign,Paid
9734,"$5,000.00",2018-09-13,Credit card,Annual Campaign,Paid
7103,$250.00,2018-01-25,Credit card,Annual Campaign,Paid
1234,"$3,000.00",2021-10-23,Credit card,Annual Campaign,Paid
7963,"$5,000.00",2024-02-21,Bank transfer,Annual Campaign,Paid
2085,$100.00,2019-03-18,Credit card,Annual Campaign,Paid
3927,"$5,000.00",2024-07-26,Check,Annual Campaign,Paid
4651,"$5,000.00",2020-10-11,Check,Annual Campaign,Paid
4039,$250.00,2021-06-09,Credit card,Annual Campaign,Paid
2481,$100.00,2021-12-17,Credit card,Annual Campaign,Paid
5321,$50.00,2018-02-10,Credit card,Annual Campaign,Refunded
4615,$250.00,2018-02-27,Bank transfer,Annual Campaign,Paid
1854,"$5,000.00",2023-02-02,Credit card,Annual Campaign,Paid
2173,"$1,000.00",2019-11-12,Credit card,Gala Campaign,Paid
2936,"$10,000.00",2022-10-28,Credit card,Annual Campaign,Paid
3140,"$1,000.00",2020-01-25,Credit card,Annual Campaign,Paid
5967,"$5,000.00",2018-07-02,Check,Annual Campaign,Paid
3446,$100.00,2023-09-28,Check,Annual Campaign,Paid
9965,"$5,000.00",2024-10-20,Check,Annual Campaign,Paid
2136,$100.00,2024-05-15,Credit card,Gala Campaign,Paid
2581,$100.00,2021-10-05,Credit card,Annual Campaign,Paid
2737,"$5,000.00",2023-08-08,Credit card,Annual Campaign,Paid
2433,"$10,000.00",2019-03-21,Credit card,Annual Campaign,Paid
7358,$50.00,2018-09-26,Credit card,Annual Campaign,Refunded
6197,$50.00,2022-11-04,Credit card,Annual Campaign,Paid
6586,"$3,000.00",2022-12-01,Bank transfer,Annual Campaign,Paid
7022,"$5,000.00",2021-09-22,Credit card,Annual Campaign,Paid
6605,"$1,000.00",2019-05-10,Credit card,Annual Campaign,Paid
4668,"$10,000.00",2021-06-20,Credit card,Annual Campaign,Paid
1288,$100.00,2023-04-01,Check,Annual Campaign,Paid
8361,$250.00,2019-04-11,Credit card,Annual Campaign,Paid
7369,$100.00,2021-02-09,Credit card,Gala Campaign,Paid
1825,"$1,000.00",2018-05-29,Bank transfer,Annual Campaign,Paid
1348,"$3,000.00",2022-05-23,Credit card,Annual Campaign,Paid
1550,$100.00,2022-10-03,Credit card,Annual Campaign,Paid
3506,"$5,000.00",2023-02-15,Credit card,Annual Campaign,Paid
3141,$100.00,2022-02-28,Credit card,Annual Campaign,Paid
7497,"$3,000.00",2018-01-17,Credit card,Annual Campaign,Paid
5966,"$10,000.00",2024-02-14,Check,Annual Campaign,Paid
5034,"$1,000.00",2018-10-04,Check,Annual Campaign,Paid
5287,"$3,000.00",2022-03-26,Check,Annual Campaign,Paid
8101,$500.00,2023-04-02,Credit card,Annual Campaign,Paid
8548,"$1,000.00",2019-03-11,Credit card,Gala Campaign,Paid
5678,$250.00,2024-10-21,Credit card,Annual Campaign,Paid
9432,"$5,000.00",2019-05-21,Credit card,Annual Campaign,Paid
3194,$50.00,2019-10-06,Credit card,Annual Campaign,Paid
6339,"$1,000.00",2022-07-24,Check,Annual Campaign,Paid
9827,$250.00,2019-11-12,Check,Annual Campaign,Paid
1288,$50.00,2022-10-20,Check,Annual Campaign,Paid
5032,$50.00,2021-12-13,Credit card,Annual Campaign,Paid
3240,"$1,000.00",2018-02-02,Credit card,Gala Campaign,Paid
8308,$250.00,2018-02-27,Credit card,Annual Campaign,Paid
3434,$500.00,2018-06-08,Credit card,Annual Campaign,Paid
5049,"$3,000.00",2024-08-04,Credit card,Annual Campaign,Paid
6020,"$5,000.00",2023-03-01,Credit card,Capital Campaign,Paid
4348,"$3,000.00",2020-08-20,Credit card,Annual Campaign,Paid
2976,"$3,000.00",2024-03-17,Check,Annual Campaign,Paid
8309,$50.00,2020-11-10,Check,Capital Campaign,Paid
9859,"$3,000.00",2019-12-12,Check,Annual Campaign,Paid
5678,$100.00,2021-09-08,Credit card,Annual Campaign,Paid
5767,$100.00,2024-04-02,Credit card,Annual Campaign,Paid
4926,$100.00,2020-04-17,Credit card,Annual Campaign,Paid
1089,$50.00,2018-06-20,Credit card,Capital Campaign,Paid
4051,$50.00,2024-09-05,Credit card,Annual Campaign,Paid
3514,$250.00,2024-07-06,Credit card,Annual Campaign,Paid
3953,"$10,000.00",2022-10-23,Credit card,Gala Campaign,Paid
6366,"$5,000.00",2019-01-02,Credit card,Annual Campaign,Paid
4566,$500.00,2023-02-06,Check,Annual Campaign,Paid
3677,"$3,000.00",2022-06-01,Credit card,Annual Campaign,Paid
6822,$100.00,2019-09-09,Bank transfer,Annual Campaign,Paid
7564,$100.00,2022-07-29,Credit card,Capital Campaign,Paid
9655,$50.00,2019-09-06,Credit card,Annual Campaign,Paid
1459,"$10,000.00",2021-01-28,Credit card,Gala Campaign,Paid
8265,"$3,000.00",2019-07-06,Check,Annual Campaign,Paid
2014,$50.00,2019-09-27,Bank transfer,Annual Campaign,Paid
4862,"$3,000.00",2021-05-02,Credit card,Annual Campaign,Paid
8161,$500.00,2019-12-31,Credit card,Annual Campaign,Paid
4107,$100.00,2018-12-07,Credit card,Gala Campaign,Paid
1102,$250.00,2020-03-31,Credit card,Annual Campaign,Paid
3203,"$1,000.00",2018-09-22,Bank transfer,Annual Campaign,Paid
6522,$500.00,2023-03-13,Credit card,Annual Campaign,Paid
4526,$250.00,2024-05-23,Credit card,Annual Campaign,Paid
3973,"$5,000.00",2021-08-28,Credit card,Capital Campaign,Paid
9734,"$10,000.00",2021-04-26,Credit card,Capital Campaign,Paid
9153,"$5,000.00",2024-04-27,Credit card,Capital Campaign,Refunded
7103,$250.00,2023-01-31,Credit card,Annual Campaign,Paid
7963,$500.00,2023-11-14,Bank transfer,Annual Campaign,Paid
6801,"$1,000.00",2018-07-26,Credit card,Annual Campaign,Paid
2085,$100.00,2021-04-17,Credit card,Capital Campaign,Refunded
3927,$250.00,2019-10-17,Credit card,Capital Campaign,Paid
4651,"$3,000.00",2020-01-14,Check,Annual Campaign,Paid
2481,"$10,000.00",2022-01-05,Credit card,Capital Campaign,Paid
5321,"$5,000.00",2021-10-07,Check,Gala Campaign,Paid
4615,"$5,000.00",2023-10-29,Credit card,Annual Campaign,Paid
9139,$250.00,2018-01-29,Check,Capital Campaign,Paid
1854,"$10,000.00",2019-04-15,Check,Annual Campaign,Paid
2173,"$10,000.00",2022-12-11,Check,Capital Campaign,Paid
2936,"$1,000.00",2023-02-09,Check,Capital Campaign,Paid
3140,"$1,000.00",2022-08-11,Bank transfer,Annual Campaign,Paid
5967,$250.00,2018-06-13,Credit card,Annual Campaign,Paid
9965,$50.00,2024-01-24,Check,Gala Campaign,Paid
2136,$50.00,2022-05-11,Credit card,Annual Campaign,Paid
2581,$250.00,2020-07-03,Credit card,Capital Campaign,Refunded
2433,"$3,000.00",2021-03-19,Credit card,Annual Campaign,Paid
7358,"$1,000.00",2022-01-24,Bank transfer,Gala Campaign,Paid
6197,$100.00,2019-11-23,Check,Annual Campaign,Paid
5678,$500.00,2023-09-10,Credit card,Annual Campaign,Paid
8361,$50.00,2021-05-20,Bank transfer,Annual Campaign,Paid
7369,$100.00,2024-04-19,Credit card,Capital Campaign,Paid
1825,"$10,000.00",2021-09-10,Credit card,Annual Campaign,Paid
1348,$500.00,2020-06-13,Credit card,Annual Campaign,Paid
1550,"$10,000.00",2024-12-28,Check,Annual Campaign,Paid
3506,$250.00,2019-10-09,Credit card,Annual Campaign,Paid
3141,"$10,000.00",2022-12-08,Credit card,Annual Campaign,Paid
7497,"$1,000.00",2020-10-31,Credit card,Annual Campaign,Paid